Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Golden State Warriors,28.1,57,14,58,13,11.58,-0.47,11.11,115.3,103.8,100.1,.266,.357,.596,.562,13.2,22.4,.210,.486,13.6,75.3,.201,Oracle Arena,646668
2,San Antonio Spurs,29.6,54,16,52,18,7.87,-0.32,7.55,111.9,103.6,94.6,.272,.279,.569,.528,12.6,23.7,.219,.491,13.5,77.8,.202,AT&T Center,608001
3,Houston Rockets,27.5,49,22,50,21,6.85,-0.15,6.70,115.1,108.3,99.7,.305,.464,.585,.547,13.2,24.6,.233,.519,13.7,76.1,.198,Toyota Center,587573
4,Los Angeles Clippers,30.0,43,29,44,28,3.40,0.23,3.63,112.0,108.5,96.1,.307,.329,.571,.534,12.2,21.6,.228,.505,12.2,76.7,.218,STAPLES Center,649086
5,Utah Jazz,26.8,44,28,46,26,3.83,-0.25,3.58,109.1,104.9,91.6,.294,.327,.561,.523,13.3,23.2,.221,.492,11.9,79.0,.194,Vivint Smart Home Arena,708037
6,Cleveland Cavaliers,29.1,46,24,44,26,3.84,-0.37,3.47,114.0,110.0,96.3,.280,.400,.580,.547,12.5,22.1,.209,.515,11.5,75.5,.171,Quicken Loans Arena,719670
7,Toronto Raptors,26.1,42,29,44,27,3.82,-0.37,3.45,112.3,108.3,94.9,.295,.288,.560,.514,11.5,24.8,.237,.510,13.6,76.4,.226,Air Canada Centre,714050
8,Boston Celtics,25.8,46,26,42,30,2.56,-0.17,2.38,110.9,108.2,96.5,.267,.388,.565,.523,12.2,21.3,.216,.504,12.7,75.2,.217,TD Garden,630322
9,Washington Wizards,26.0,43,28,40,31,1.99,-0.58,1.40,110.5,108.5,97.4,.254,.283,.562,.525,12.8,23.9,.200,.520,13.9,75.5,.213,Verizon Center,638512
10,Oklahoma City Thunder,24.6,41,30,38,33,1.01,0.37,1.38,108.6,107.6,97.9,.301,.294,.543,.503,13.2,27.7,.224,.510,12.5,78.6,.216,Chesapeake Energy Arena,673511
11,Memphis Grizzlies,29.5,40,31,38,33,0.83,0.44,1.27,107.6,106.7,92.9,.289,.314,.535,.490,12.0,24.7,.226,.504,13.8,77.9,.265,FedEx Forum,575906
12,Denver Nuggets,25.3,34,37,37,34,0.52,0.21,0.73,113.4,112.8,97.9,.280,.326,.567,.530,13.4,28.2,.215,.535,11.1,78.8,.198,Pepsi Center,549669
13,Miami Heat,26.4,35,36,38,33,1.01,-0.39,0.62,107.7,106.7,95.2,.247,.314,.540,.513,12.3,24.2,.173,.495,12.4,76.5,.219,AmericanAirlines Arena,706819
14,Charlotte Hornets,26.6,32,39,37,34,0.83,-0.42,0.41,108.3,107.4,96.0,.277,.333,.545,.499,10.9,20.0,.224,.514,11.9,79.5,.164,Spectrum Center,601817
15,Milwaukee Bucks,25.6,36,35,37,34,0.44,-0.27,0.17,109.8,109.4,94.8,.281,.284,.566,.528,13.1,22.1,.216,.520,13.8,75.3,.217,BMO Harris Bradley Center,558346
16,Minnesota Timberwolves,23.9,28,42,34,36,-0.61,0.62,0.01,110.2,110.9,94.5,.281,.255,.554,.511,13.1,27.4,.223,.528,13.2,76.2,.208,Target Center,536031
17,Detroit Pistons,25.4,34,38,34,38,-0.75,-0.06,-0.81,106.3,107.1,94.9,.221,.261,.523,.494,10.8,23.7,.160,.515,12.1,81.1,.200,The Palace of Auburn Hills,583587
18,Chicago Bulls,27.1,34,38,34,38,-1.01,0.11,-0.91,107.1,108.2,94.9,.266,.252,.527,.483,12.2,27.3,.212,.513,12.3,76.4,.167,United Center,779830
19,Indiana Pacers,27.0,36,35,33,38,-0.96,-0.35,-1.31,107.5,108.5,96.1,.264,.272,.555,.512,12.9,20.6,.213,.509,13.5,75.1,.220,Bankers Life Fieldhouse,581197
20,Atlanta Hawks,28.0,37,34,33,38,-1.17,-0.16,-1.33,105.1,106.2,97.4,.296,.308,.543,.506,14.1,23.2,.215,.510,13.9,75.8,.178,Philips Arena,573245
21,Portland Trail Blazers,24.9,32,38,31,39,-1.69,0.34,-1.35,109.8,111.5,97.0,.278,.319,.559,.519,12.7,22.9,.217,.511,11.5,76.7,.246,Moda Center,616290
22,New Orleans Pelicans,25.6,30,41,30,41,-2.15,0.36,-1.80,104.4,106.6,97.9,.260,.307,.536,.501,12.1,18.8,.194,.505,12.5,77.1,.181,Smoothie King Center,595439
23,Dallas Mavericks,27.8,30,40,29,41,-2.37,0.24,-2.13,105.8,108.3,92.1,.225,.361,.542,.506,11.6,18.1,.181,.529,14.6,78.0,.221,American Airlines Center,711293
24,Sacramento Kings,28.3,27,44,27,44,-3.65,0.47,-3.17,107.3,111.1,94.7,.286,.296,.555,.514,13.6,21.2,.222,.531,13.3,76.5,.228,Golden 1 Center,633888
25,New York Knicks,27.4,27,44,28,43,-3.44,-0.35,-3.78,108.1,111.6,96.4,.242,.282,.536,.498,12.4,26.4,.190,.508,11.4,74.0,.217,Madison Square Garden (IV),672057
26,Phoenix Suns,25.4,22,49,24,47,-5.35,0.40,-4.95,106.3,111.6,99.9,.293,.256,.539,.493,13.6,25.7,.230,.525,13.3,76.7,.265,Talking Stick Resort Arena,620360
27,Philadelphia 76ers,24.7,26,45,23,48,-5.41,0.05,-5.36,102.9,108.3,98.6,.260,.344,.539,.501,15.0,21.9,.199,.509,13.5,75.6,.237,Wells Fargo Center,634665
28,Orlando Magic,25.5,26,46,21,51,-6.38,0.06,-6.32,103.4,110.0,96.3,.247,.300,.522,.487,12.2,22.0,.182,.520,12.1,77.1,.202,Amway Center,634992
29,Los Angeles Lakers,25.3,20,51,19,52,-7.55,0.43,-7.12,106.0,113.6,98.7,.261,.301,.536,.500,13.4,24.9,.197,.543,12.8,75.5,.215,STAPLES Center,644237
