Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz,78,241.0,36.2,81.9,.442,8.1,22.8,.356,28.1,59.0,.476,15.9,20.9,.764,8.9,31.2,40.1,17.8,7.3,3.8,12.2,20.3,96.5
2,San Antonio Spurs,78,241.6,36.9,83.3,.442,8.1,23.6,.343,28.8,59.7,.482,16.4,21.1,.774,9.8,31.6,41.5,21.4,7.6,4.0,14.6,20.0,98.2
3,Dallas Mavericks,78,241.3,36.9,78.6,.469,9.6,25.1,.380,27.3,53.4,.511,17.2,22.3,.773,8.7,35.5,44.2,21.0,6.6,3.4,15.1,19.5,100.5
4,Memphis Grizzlies,79,242.8,34.9,78.7,.443,9.9,28.0,.355,24.9,50.8,.491,20.5,27.1,.754,9.2,33.0,42.2,20.0,7.0,5.1,14.3,21.0,100.1
5,Miami Heat,78,241.0,37.8,84.1,.449,7.7,22.6,.341,30.1,61.6,.489,18.6,23.8,.783,10.2,33.4,43.6,19.7,6.7,5.0,13.4,18.5,101.9
6,Detroit Pistons,78,241.6,38.3,83.3,.460,9.3,25.4,.364,29.1,57.9,.502,16.5,21.2,.778,8.0,34.8,42.8,23.4,6.7,4.1,12.7,17.5,102.4
7,Atlanta Hawks,78,242.2,38.8,87.3,.445,10.9,30.4,.359,27.9,56.8,.490,15.6,20.3,.771,10.8,33.2,43.9,23.5,9.1,5.3,15.5,21.8,104.2
8,Toronto Raptors,79,241.3,37.4,83.0,.450,9.7,27.2,.356,27.7,55.8,.496,18.6,23.8,.781,10.1,32.0,42.1,21.8,6.7,4.8,14.6,20.4,103.1
9,Chicago Bulls,79,241.3,39.7,86.5,.459,9.0,25.7,.351,30.7,60.8,.505,14.6,18.9,.770,10.3,32.9,43.2,23.8,7.3,4.6,13.3,18.9,103.1
10,Milwaukee Bucks,79,241.3,38.2,82.9,.460,10.0,28.1,.356,28.2,54.8,.514,17.9,23.3,.771,10.3,32.1,42.4,24.0,7.3,4.7,14.8,19.4,104.3
11,Oklahoma City Thunder,78,241.6,39.2,85.4,.459,8.9,24.9,.357,30.3,60.5,.500,18.5,24.3,.762,9.2,31.4,40.6,21.5,8.6,5.5,13.8,20.8,105.7
12,Golden State Warriors,79,241.3,38.7,89.1,.434,9.1,27.9,.324,29.6,61.2,.484,18.0,23.5,.765,11.8,31.9,43.7,22.6,8.6,3.9,15.6,19.4,104.4
13,Charlotte Hornets,79,241.9,39.4,86.7,.455,11.5,31.4,.366,27.9,55.2,.505,14.3,18.4,.776,8.9,35.4,44.3,24.3,6.7,5.6,13.0,20.0,104.7
14,New Orleans Pelicans,78,242.9,39.9,89.1,.448,10.5,29.8,.352,29.4,59.3,.496,15.8,20.7,.765,10.6,37.6,48.2,23.2,7.3,4.3,13.8,19.4,106.1
15,Los Angeles Clippers,79,240.9,38.7,85.5,.452,9.3,26.4,.351,29.4,59.1,.498,18.2,23.6,.772,10.3,33.0,43.3,23.1,7.2,3.2,13.2,22.5,104.8
16,Minnesota Timberwolves,78,241.6,39.4,83.1,.474,9.8,26.7,.365,29.7,56.4,.526,17.7,23.0,.770,9.7,30.6,40.3,22.8,7.6,5.0,14.3,20.5,106.3
17,Sacramento Kings,78,242.6,38.3,82.9,.462,11.0,29.9,.367,27.3,53.0,.515,18.8,24.1,.780,9.9,32.9,42.8,23.7,8.6,5.2,14.1,20.1,106.4
18,Cleveland Cavaliers,78,241.9,40.5,88.7,.457,10.3,28.5,.362,30.2,60.2,.502,15.4,19.9,.775,11.1,33.1,44.2,24.4,7.3,4.3,12.7,20.6,106.7
19,Indiana Pacers,79,242.2,38.1,84.6,.450,10.3,29.1,.353,27.8,55.5,.501,19.0,24.1,.788,10.9,33.8,44.7,22.3,8.0,5.1,14.9,19.6,105.4
20,Boston Celtics,79,240.9,38.8,85.8,.452,9.0,27.0,.334,29.7,58.9,.505,18.9,24.7,.764,10.8,33.7,44.5,22.6,7.7,5.1,14.0,20.4,105.4
21,Orlando Magic,79,241.6,40.1,86.1,.465,9.6,26.3,.366,30.4,59.8,.509,17.5,22.7,.769,9.7,35.6,45.4,23.4,7.6,5.2,13.1,18.8,107.2
