Date,Vteam,VPTS,Hteam,HPTS
2016-10-25 07:30:00,New York Knicks,88.0,Cleveland Cavaliers,117.0
2016-10-25 10:00:00,Utah Jazz,104.0,Portland Trail Blazers,113.0
2016-10-25 10:30:00,San Antonio Spurs,129.0,Golden State Warriors,100.0
2016-10-26 07:00:00,Dallas Mavericks,121.0,Indiana Pacers,130.0
2016-10-26 07:00:00,Miami Heat,108.0,Orlando Magic,96.0
2016-10-26 07:30:00,Brooklyn Nets,117.0,Boston Celtics,122.0
2016-10-26 07:30:00,Detroit Pistons,91.0,Toronto Raptors,109.0
2016-10-26 08:00:00,Oklahoma City Thunder,103.0,Philadelphia 76ers,97.0
2016-10-26 08:00:00,Denver Nuggets,107.0,New Orleans Pelicans,102.0
2016-10-26 08:00:00,Charlotte Hornets,107.0,Milwaukee Bucks,96.0
2016-10-26 08:00:00,Minnesota Timberwolves,98.0,Memphis Grizzlies,102.0
2016-10-26 10:00:00,Sacramento Kings,113.0,Phoenix Suns,94.0
2016-10-26 10:30:00,Houston Rockets,114.0,Los Angeles Lakers,120.0
2016-10-27 07:30:00,Washington Wizards,99.0,Atlanta Hawks,114.0
2016-10-27 08:00:00,Boston Celtics,99.0,Chicago Bulls,105.0
2016-10-27 10:30:00,Los Angeles Clippers,114.0,Portland Trail Blazers,106.0
2016-10-27 10:30:00,San Antonio Spurs,102.0,Sacramento Kings,94.0
2016-10-28 07:00:00,Cleveland Cavaliers,94.0,Toronto Raptors,91.0
2016-10-28 07:30:00,Orlando Magic,82.0,Detroit Pistons,108.0
2016-10-28 07:30:00,Indiana Pacers,94.0,Brooklyn Nets,103.0
2016-10-28 08:00:00,Charlotte Hornets,97.0,Miami Heat,91.0
2016-10-28 08:00:00,Phoenix Suns,110.0,Oklahoma City Thunder,113.0
2016-10-28 08:30:00,Houston Rockets,106.0,Dallas Mavericks,98.0
2016-10-28 09:00:00,Los Angeles Lakers,89.0,Utah Jazz,96.0
2016-10-28 09:30:00,Golden State Warriors,122.0,New Orleans Pelicans,114.0
2016-10-29 00:30:00,Atlanta Hawks,104.0,Philadelphia 76ers,72.0
2016-10-29 07:00:00,Boston Celtics,104.0,Charlotte Hornets,98.0
2016-10-29 07:30:00,Orlando Magic,99.0,Cleveland Cavaliers,105.0
2016-10-29 07:30:00,Memphis Grizzlies,104.0,New York Knicks,111.0
2016-10-29 08:00:00,Indiana Pacers,101.0,Chicago Bulls,118.0
2016-10-29 08:00:00,Brooklyn Nets,108.0,Milwaukee Bucks,110.0
2016-10-29 08:00:00,New Orleans Pelicans,79.0,San Antonio Spurs,98.0
2016-10-29 09:00:00,Portland Trail Blazers,115.0,Denver Nuggets,113.0
2016-10-29 10:30:00,Minnesota Timberwolves,103.0,Sacramento Kings,106.0
2016-10-30 04:30:00,Utah Jazz,75.0,Los Angeles Clippers,88.0
2016-10-30 06:00:00,San Antonio Spurs,106.0,Miami Heat,99.0
2016-10-30 06:00:00,Milwaukee Bucks,83.0,Detroit Pistons,98.0
2016-10-30 06:00:00,Golden State Warriors,106.0,Phoenix Suns,100.0
2016-10-30 07:00:00,Los Angeles Lakers,96.0,Oklahoma City Thunder,113.0
2016-10-30 08:00:00,Washington Wizards,103.0,Memphis Grizzlies,112.0
2016-10-30 08:00:00,Dallas Mavericks,92.0,Houston Rockets,93.0
2016-10-31 07:30:00,Sacramento Kings,95.0,Atlanta Hawks,106.0
2016-10-31 07:30:00,Chicago Bulls,118.0,Brooklyn Nets,88.0
2016-10-31 07:30:00,Denver Nuggets,102.0,Toronto Raptors,105.0
2016-10-31 10:30:00,Phoenix Suns,98.0,Los Angeles Clippers,116.0
2016-11-01 06:00:00,Houston Rockets,120.0,Cleveland Cavaliers,128.0
2016-11-01 07:00:00,Los Angeles Lakers,108.0,Indiana Pacers,115.0
2016-11-01 07:00:00,Orlando Magic,103.0,Philadelphia 76ers,101.0
2016-11-01 07:30:00,New York Knicks,89.0,Detroit Pistons,102.0
2016-11-01 07:30:00,Sacramento Kings,96.0,Miami Heat,108.0
2016-11-01 08:00:00,Memphis Grizzlies,80.0,Minnesota Timberwolves,116.0
2016-11-01 08:00:00,Milwaukee Bucks,117.0,New Orleans Pelicans,113.0
2016-11-01 08:30:00,Utah Jazz,106.0,San Antonio Spurs,91.0
2016-11-01 10:00:00,Golden State Warriors,127.0,Portland Trail Blazers,104.0
2016-11-02 07:00:00,Toronto Raptors,113.0,Washington Wizards,103.0
2016-11-02 07:00:00,Philadelphia 76ers,93.0,Charlotte Hornets,109.0
2016-11-02 07:30:00,Detroit Pistons,101.0,Brooklyn Nets,109.0
2016-11-02 07:30:00,Houston Rockets,118.0,New York Knicks,99.0
2016-11-02 07:30:00,Los Angeles Lakers,123.0,Atlanta Hawks,116.0
2016-11-02 08:00:00,New Orleans Pelicans,83.0,Memphis Grizzlies,89.0
2016-11-02 08:00:00,Chicago Bulls,100.0,Boston Celtics,107.0
2016-11-02 09:00:00,Dallas Mavericks,81.0,Utah Jazz,97.0
2016-11-02 10:00:00,Portland Trail Blazers,115.0,Phoenix Suns,118.0
2016-11-02 10:30:00,Oklahoma City Thunder,85.0,Los Angeles Clippers,83.0
2016-11-03 07:00:00,Sacramento Kings,94.0,Orlando Magic,102.0
2016-11-03 08:00:00,Boston Celtics,122.0,Cleveland Cavaliers,128.0
2016-11-03 08:00:00,Indiana Pacers,107.0,Milwaukee Bucks,125.0
2016-11-03 08:00:00,Denver Nuggets,102.0,Minnesota Timberwolves,99.0
2016-11-03 10:30:00,Oklahoma City Thunder,96.0,Golden State Warriors,122.0
2016-11-04 07:00:00,Atlanta Hawks,92.0,Washington Wizards,95.0
2016-11-04 07:30:00,Charlotte Hornets,99.0,Brooklyn Nets,95.0
2016-11-04 07:30:00,Miami Heat,87.0,Toronto Raptors,96.0
2016-11-04 08:00:00,New York Knicks,117.0,Chicago Bulls,104.0
2016-11-04 08:00:00,Los Angeles Clippers,99.0,Memphis Grizzlies,88.0
2016-11-04 08:00:00,Phoenix Suns,112.0,New Orleans Pelicans,111.0
2016-11-04 08:30:00,Portland Trail Blazers,105.0,Dallas Mavericks,95.0
2016-11-04 09:00:00,San Antonio Spurs,100.0,Utah Jazz,86.0
2016-11-04 10:30:00,Golden State Warriors,97.0,Los Angeles Lakers,117.0
2016-11-05 06:00:00,Minnesota Timberwolves,92.0,Oklahoma City Thunder,112.0
2016-11-05 07:00:00,Denver Nuggets,86.0,Detroit Pistons,103.0
2016-11-05 07:00:00,Chicago Bulls,94.0,Indiana Pacers,111.0
2016-11-05 07:00:00,Washington Wizards,86.0,Orlando Magic,88.0
2016-11-05 07:00:00,Cleveland Cavaliers,102.0,Philadelphia 76ers,101.0
2016-11-05 07:30:00,Houston Rockets,97.0,Atlanta Hawks,112.0
2016-11-05 08:00:00,Sacramento Kings,91.0,Milwaukee Bucks,117.0
2016-11-05 08:30:00,Los Angeles Clippers,116.0,San Antonio Spurs,92.0
2016-11-06 00:00:00,Utah Jazz,114.0,New York Knicks,109.0
2016-11-06 03:30:00,Portland Trail Blazers,100.0,Memphis Grizzlies,94.0
2016-11-06 06:00:00,Sacramento Kings,96.0,Toronto Raptors,91.0
2016-11-06 07:00:00,Milwaukee Bucks,75.0,Dallas Mavericks,86.0
2016-11-06 07:30:00,Denver Nuggets,123.0,Boston Celtics,107.0
2016-11-06 09:30:00,Phoenix Suns,108.0,Los Angeles Lakers,119.0
2016-11-07 07:00:00,Utah Jazz,109.0,Philadelphia 76ers,84.0
2016-11-07 07:00:00,Houston Rockets,114.0,Washington Wizards,106.0
2016-11-07 07:00:00,Indiana Pacers,100.0,Charlotte Hornets,122.0
2016-11-07 08:00:00,Miami Heat,85.0,Oklahoma City Thunder,97.0
2016-11-07 08:00:00,Orlando Magic,80.0,Chicago Bulls,112.0
2016-11-07 10:30:00,New Orleans Pelicans,106.0,Golden State Warriors,116.0
2016-11-07 10:30:00,Detroit Pistons,82.0,Los Angeles Clippers,114.0
2016-11-08 07:00:00,Atlanta Hawks,110.0,Cleveland Cavaliers,106.0
2016-11-08 07:30:00,Minnesota Timberwolves,110.0,Brooklyn Nets,119.0
2016-11-08 08:00:00,Denver Nuggets,107.0,Memphis Grizzlies,108.0
2016-11-08 10:00:00,Phoenix Suns,121.0,Portland Trail Blazers,124.0
2016-11-08 10:30:00,Dallas Mavericks,109.0,Los Angeles Lakers,97.0
2016-11-08 10:30:00,New Orleans Pelicans,94.0,Sacramento Kings,102.0
2016-11-09 07:00:00,Brooklyn Nets,96.0,New York Knicks,110.0
2016-11-09 07:00:00,Minnesota Timberwolves,123.0,Orlando Magic,107.0
2016-11-09 07:00:00,Philadelphia 76ers,115.0,Indiana Pacers,122.0
2016-11-09 07:00:00,Boston Celtics,93.0,Washington Wizards,118.0
2016-11-09 07:00:00,Utah Jazz,98.0,Charlotte Hornets,104.0
2016-11-09 07:30:00,Chicago Bulls,107.0,Atlanta Hawks,115.0
2016-11-09 08:00:00,Toronto Raptors,112.0,Oklahoma City Thunder,102.0
2016-11-09 09:00:00,Detroit Pistons,100.0,Phoenix Suns,107.0
2016-11-09 09:30:00,Houston Rockets,101.0,San Antonio Spurs,99.0
2016-11-09 10:30:00,Portland Trail Blazers,80.0,Los Angeles Clippers,111.0
2016-11-09 10:30:00,Dallas Mavericks,95.0,Golden State Warriors,116.0
2016-11-10 08:00:00,Chicago Bulls,98.0,Miami Heat,95.0
2016-11-10 08:00:00,New Orleans Pelicans,112.0,Milwaukee Bucks,106.0
2016-11-10 09:00:00,Golden State Warriors,125.0,Denver Nuggets,101.0
2016-11-10 10:30:00,Los Angeles Lakers,101.0,Sacramento Kings,91.0
