Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,71,241.4,43.0,87.1,.493,11.9,31.1,.383,31.0,56.0,.554,18.3,23.2,.787,9.3,35.4,44.6,30.3,9.7,6.6,14.8,19.4,116.1
2,Houston Rockets,71,241.4,40.3,87.0,.463,14.6,40.3,.362,25.7,46.6,.551,20.3,26.5,.765,10.9,33.3,44.2,25.3,8.4,4.4,15.0,20.1,115.5
3,Denver Nuggets,71,241.1,41.0,87.5,.469,10.7,28.6,.374,30.3,58.9,.515,18.8,24.5,.768,12.2,34.1,46.2,25.2,7.1,4.0,15.2,19.4,111.5
4,Los Angeles Clippers,72,241.0,39.4,83.5,.472,10.3,27.5,.375,29.1,56.0,.519,19.0,25.7,.742,9.2,33.9,43.0,22.6,7.5,4.4,13.1,20.2,108.2
5,Boston Celtics,72,241.0,38.5,85.1,.453,12.0,33.0,.362,26.5,52.0,.510,18.4,22.7,.812,9.1,32.7,41.9,24.8,7.5,4.2,13.3,20.4,107.4
6,Cleveland Cavaliers,70,241.4,39.8,84.7,.469,13.1,33.9,.388,26.6,50.9,.524,17.7,23.7,.747,9.4,34.3,43.7,22.4,6.6,4.0,13.6,17.8,110.5
7,Washington Wizards,71,242.5,41.1,87.0,.472,9.2,24.6,.372,31.9,62.4,.511,17.4,22.1,.785,10.2,32.8,43.1,24.0,8.5,4.3,14.2,21.4,108.7
8,Toronto Raptors,71,241.4,39.1,84.7,.462,8.8,24.4,.362,30.3,60.3,.502,20.1,25.0,.802,10.7,32.5,43.2,18.3,8.3,4.9,12.5,20.9,107.1
9,Phoenix Suns,71,242.1,39.6,88.1,.450,7.6,22.6,.337,32.0,65.5,.489,20.2,25.8,.784,11.6,33.0,44.6,19.2,8.1,4.9,15.6,24.7,107.1
10,Oklahoma City Thunder,71,241.4,39.5,87.0,.454,8.4,25.6,.328,31.1,61.4,.507,19.5,26.2,.743,12.0,34.3,46.3,21.1,7.8,5.0,15.0,20.9,106.9
11,Portland Trail Blazers,70,243.6,39.6,86.2,.459,10.2,27.5,.370,29.4,58.6,.501,18.7,24.0,.779,10.1,33.6,43.7,21.5,6.9,5.1,14.1,21.6,108.0
