Date,Time,Vteam,VPTS,Hteam,HPTS
Wed Mar 1 2017,7:30 PM,Dallas Mavericks,95,Atlanta Hawks,100
Wed Mar 1 2017,8:00 PM,Cleveland Cavaliers,99,Boston Celtics,103
Wed Mar 1 2017,10:30 PM,Houston Rockets,122,Los Angeles Clippers,103
Wed Mar 1 2017,7:30 PM,Philadelphia 76ers,98,Miami Heat,125
Wed Mar 1 2017,8:00 PM,Denver Nuggets,110,Milwaukee Bucks,98
Wed Mar 1 2017,8:00 PM,Detroit Pistons,86,New Orleans Pelicans,109
Wed Mar 1 2017,7:00 PM,New York Knicks,101,Orlando Magic,90
Wed Mar 1 2017,10:30 PM,Brooklyn Nets,109,Sacramento Kings,100
Wed Mar 1 2017,8:30 PM,Indiana Pacers,99,San Antonio Spurs,100
Wed Mar 1 2017,7:30 PM,Washington Wizards,105,Toronto Raptors,96
Wed Mar 1 2017,9:00 PM,Minnesota Timberwolves,107,Utah Jazz,80
Thu Mar 2 2017,8:00 PM,Golden State Warriors,87,Chicago Bulls,94
Thu Mar 2 2017,9:00 PM,Charlotte Hornets,103,Phoenix Suns,120
Thu Mar 2 2017,10:30 PM,Oklahoma City Thunder,109,Portland Trail Blazers,114
Fri Mar 3 2017,7:00 PM,Cleveland Cavaliers,135,Atlanta Hawks,130
Fri Mar 3 2017,8:30 PM,Memphis Grizzlies,100,Dallas Mavericks,104
Fri Mar 3 2017,10:30 PM,Boston Celtics,115,Los Angeles Lakers,95
Fri Mar 3 2017,8:00 PM,Los Angeles Clippers,101,Milwaukee Bucks,112
Fri Mar 3 2017,9:30 PM,San Antonio Spurs,101,New Orleans Pelicans,98
Fri Mar 3 2017,7:00 PM,Miami Heat,99,Orlando Magic,110
Fri Mar 3 2017,7:00 PM,New York Knicks,102,Philadelphia 76ers,105
Fri Mar 3 2017,9:00 PM,Oklahoma City Thunder,111,Phoenix Suns,118
Fri Mar 3 2017,9:00 PM,Brooklyn Nets,97,Utah Jazz,112
Fri Mar 3 2017,7:00 PM,Toronto Raptors,114,Washington Wizards,106
Sat Mar 4 2017,8:30 PM,Los Angeles Clippers,101,Chicago Bulls,91
Sat Mar 4 2017,9:00 PM,Charlotte Hornets,112,Denver Nuggets,102
Sat Mar 4 2017,9:00 PM,Memphis Grizzlies,108,Houston Rockets,123
Sat Mar 4 2017,8:00 PM,Cleveland Cavaliers,92,Miami Heat,120
Sat Mar 4 2017,8:00 PM,Toronto Raptors,94,Milwaukee Bucks,101
Sat Mar 4 2017,6:00 PM,Detroit Pistons,136,Philadelphia 76ers,106
Sat Mar 4 2017,10:00 PM,Brooklyn Nets,116,Portland Trail Blazers,130
Sat Mar 4 2017,9:00 PM,Minnesota Timberwolves,90,San Antonio Spurs,97
Sun Mar 5 2017,1:00 PM,Indiana Pacers,97,Atlanta Hawks,96
Sun Mar 5 2017,8:30 PM,Oklahoma City Thunder,89,Dallas Mavericks,104
Sun Mar 5 2017,9:30 PM,New Orleans Pelicans,105,Los Angeles Lakers,97
Sun Mar 5 2017,3:30 PM,Golden State Warriors,112,New York Knicks,105
Sun Mar 5 2017,5:00 PM,Boston Celtics,106,Phoenix Suns,109
Sun Mar 5 2017,6:00 PM,Utah Jazz,110,Sacramento Kings,109
Sun Mar 5 2017,5:00 PM,Orlando Magic,114,Washington Wizards,115
Mon Mar 6 2017,7:30 PM,Golden State Warriors,119,Atlanta Hawks,111
Mon Mar 6 2017,8:00 PM,Indiana Pacers,88,Charlotte Hornets,100
Mon Mar 6 2017,7:00 PM,Miami Heat,106,Cleveland Cavaliers,98
Mon Mar 6 2017,9:00 PM,Sacramento Kings,96,Denver Nuggets,108
Mon Mar 6 2017,7:30 PM,Chicago Bulls,95,Detroit Pistons,109
Mon Mar 6 2017,10:30 PM,Boston Celtics,102,Los Angeles Clippers,116
Mon Mar 6 2017,8:00 PM,Brooklyn Nets,122,Memphis Grizzlies,109
Mon Mar 6 2017,7:00 PM,New York Knicks,113,Orlando Magic,105
Mon Mar 6 2017,7:00 PM,Milwaukee Bucks,112,Philadelphia 76ers,98
Mon Mar 6 2017,8:30 PM,Houston Rockets,110,San Antonio Spurs,112
Mon Mar 6 2017,9:00 PM,New Orleans Pelicans,83,Utah Jazz,88
Tue Mar 7 2017,8:30 PM,Los Angeles Lakers,111,Dallas Mavericks,122
Tue Mar 7 2017,8:00 PM,Portland Trail Blazers,126,Oklahoma City Thunder,121
Tue Mar 7 2017,9:00 PM,Washington Wizards,131,Phoenix Suns,127
Wed Mar 8 2017,7:30 PM,Brooklyn Nets,105,Atlanta Hawks,110
Wed Mar 8 2017,9:00 PM,Washington Wizards,123,Denver Nuggets,113
Wed Mar 8 2017,10:30 PM,Boston Celtics,99,Golden State Warriors,86
Wed Mar 8 2017,8:00 PM,Utah Jazz,115,Houston Rockets,108
Wed Mar 8 2017,8:00 PM,Detroit Pistons,98,Indiana Pacers,115
Wed Mar 8 2017,7:30 PM,Charlotte Hornets,101,Miami Heat,108
Wed Mar 8 2017,8:00 PM,New York Knicks,93,Milwaukee Bucks,104
Wed Mar 8 2017,8:00 PM,Los Angeles Clippers,91,Minnesota Timberwolves,107
Wed Mar 8 2017,8:00 PM,Toronto Raptors,94,New Orleans Pelicans,87
Wed Mar 8 2017,7:00 PM,Chicago Bulls,91,Orlando Magic,98
Wed Mar 8 2017,8:30 PM,Sacramento Kings,104,San Antonio Spurs,114
Thu Mar 9 2017,7:30 PM,Cleveland Cavaliers,101,Detroit Pistons,106
Thu Mar 9 2017,8:00 PM,Los Angeles Clippers,114,Memphis Grizzlies,98
