Date,Vteam,VPTS,Hteam,HPTS
2017-03-01 07:00:00,New York Knicks,101.0,Orlando Magic,90.0
2017-03-01 07:30:00,Dallas Mavericks,95.0,Atlanta Hawks,100.0
2017-03-01 07:30:00,Philadelphia 76ers,98.0,Miami Heat,125.0
2017-03-01 07:30:00,Washington Wizards,105.0,Toronto Raptors,96.0
2017-03-01 08:00:00,Cleveland Cavaliers,99.0,Boston Celtics,103.0
2017-03-01 08:00:00,Denver Nuggets,110.0,Milwaukee Bucks,98.0
2017-03-01 08:00:00,Detroit Pistons,86.0,New Orleans Pelicans,109.0
2017-03-01 08:30:00,Indiana Pacers,99.0,San Antonio Spurs,100.0
2017-03-01 09:00:00,Minnesota Timberwolves,107.0,Utah Jazz,80.0
2017-03-01 10:30:00,Houston Rockets,122.0,Los Angeles Clippers,103.0
2017-03-01 10:30:00,Brooklyn Nets,109.0,Sacramento Kings,100.0
2017-03-02 08:00:00,Golden State Warriors,87.0,Chicago Bulls,94.0
2017-03-02 09:00:00,Charlotte Hornets,103.0,Phoenix Suns,120.0
2017-03-02 10:30:00,Oklahoma City Thunder,109.0,Portland Trail Blazers,114.0
2017-03-03 07:00:00,New York Knicks,102.0,Philadelphia 76ers,105.0
2017-03-03 07:00:00,Miami Heat,99.0,Orlando Magic,110.0
2017-03-03 07:00:00,Toronto Raptors,114.0,Washington Wizards,106.0
2017-03-03 07:00:00,Cleveland Cavaliers,135.0,Atlanta Hawks,130.0
2017-03-03 08:00:00,Los Angeles Clippers,101.0,Milwaukee Bucks,112.0
2017-03-03 08:30:00,Memphis Grizzlies,100.0,Dallas Mavericks,104.0
2017-03-03 09:00:00,Oklahoma City Thunder,111.0,Phoenix Suns,118.0
2017-03-03 09:00:00,Brooklyn Nets,97.0,Utah Jazz,112.0
2017-03-03 09:30:00,San Antonio Spurs,101.0,New Orleans Pelicans,98.0
2017-03-03 10:30:00,Boston Celtics,115.0,Los Angeles Lakers,95.0
2017-03-04 06:00:00,Detroit Pistons,136.0,Philadelphia 76ers,106.0
2017-03-04 08:00:00,Cleveland Cavaliers,92.0,Miami Heat,120.0
2017-03-04 08:00:00,Toronto Raptors,94.0,Milwaukee Bucks,101.0
2017-03-04 08:30:00,Los Angeles Clippers,101.0,Chicago Bulls,91.0
2017-03-04 09:00:00,Charlotte Hornets,112.0,Denver Nuggets,102.0
2017-03-04 09:00:00,Memphis Grizzlies,108.0,Houston Rockets,123.0
2017-03-04 09:00:00,Minnesota Timberwolves,90.0,San Antonio Spurs,97.0
2017-03-04 10:00:00,Brooklyn Nets,116.0,Portland Trail Blazers,130.0
2017-03-05 01:00:00,Indiana Pacers,97.0,Atlanta Hawks,96.0
2017-03-05 03:30:00,Golden State Warriors,112.0,New York Knicks,105.0
2017-03-05 05:00:00,Boston Celtics,106.0,Phoenix Suns,109.0
2017-03-05 05:00:00,Orlando Magic,114.0,Washington Wizards,115.0
2017-03-05 06:00:00,Utah Jazz,110.0,Sacramento Kings,109.0
2017-03-05 08:30:00,Oklahoma City Thunder,89.0,Dallas Mavericks,104.0
2017-03-05 09:30:00,New Orleans Pelicans,105.0,Los Angeles Lakers,97.0
2017-03-06 07:00:00,Miami Heat,106.0,Cleveland Cavaliers,98.0
2017-03-06 07:00:00,New York Knicks,113.0,Orlando Magic,105.0
2017-03-06 07:00:00,Milwaukee Bucks,112.0,Philadelphia 76ers,98.0
2017-03-06 07:30:00,Golden State Warriors,119.0,Atlanta Hawks,111.0
2017-03-06 07:30:00,Chicago Bulls,95.0,Detroit Pistons,109.0
2017-03-06 08:00:00,Indiana Pacers,88.0,Charlotte Hornets,100.0
2017-03-06 08:00:00,Brooklyn Nets,122.0,Memphis Grizzlies,109.0
2017-03-06 08:30:00,Houston Rockets,110.0,San Antonio Spurs,112.0
2017-03-06 09:00:00,New Orleans Pelicans,83.0,Utah Jazz,88.0
2017-03-06 09:00:00,Sacramento Kings,96.0,Denver Nuggets,108.0
2017-03-06 10:30:00,Boston Celtics,102.0,Los Angeles Clippers,116.0
2017-03-07 08:00:00,Portland Trail Blazers,126.0,Oklahoma City Thunder,121.0
2017-03-07 08:30:00,Los Angeles Lakers,111.0,Dallas Mavericks,122.0
2017-03-07 09:00:00,Washington Wizards,131.0,Phoenix Suns,127.0
2017-03-08 07:00:00,Chicago Bulls,91.0,Orlando Magic,98.0
2017-03-08 07:30:00,Brooklyn Nets,105.0,Atlanta Hawks,110.0
2017-03-08 07:30:00,Charlotte Hornets,101.0,Miami Heat,108.0
2017-03-08 08:00:00,Utah Jazz,115.0,Houston Rockets,108.0
2017-03-08 08:00:00,Detroit Pistons,98.0,Indiana Pacers,115.0
2017-03-08 08:00:00,New York Knicks,93.0,Milwaukee Bucks,104.0
2017-03-08 08:00:00,Los Angeles Clippers,91.0,Minnesota Timberwolves,107.0
2017-03-08 08:00:00,Toronto Raptors,94.0,New Orleans Pelicans,87.0
2017-03-08 08:30:00,Sacramento Kings,104.0,San Antonio Spurs,114.0
2017-03-08 09:00:00,Washington Wizards,123.0,Denver Nuggets,113.0
2017-03-08 10:30:00,Boston Celtics,99.0,Golden State Warriors,86.0
2017-03-09 07:30:00,Cleveland Cavaliers,101.0,Detroit Pistons,106.0
2017-03-09 08:00:00,San Antonio Spurs,92.0,Oklahoma City Thunder,102.0
2017-03-09 08:00:00,Los Angeles Clippers,114.0,Memphis Grizzlies,98.0
2017-03-09 10:00:00,Philadelphia 76ers,108.0,Portland Trail Blazers,114.0
2017-03-09 10:30:00,Los Angeles Lakers,122.0,Phoenix Suns,110.0
2017-03-10 07:00:00,Orlando Magic,81.0,Charlotte Hornets,121.0
2017-03-10 08:00:00,Golden State Warriors,102.0,Minnesota Timberwolves,103.0
2017-03-10 08:00:00,Toronto Raptors,99.0,Atlanta Hawks,105.0
2017-03-10 08:00:00,Houston Rockets,115.0,Chicago Bulls,94.0
2017-03-10 08:00:00,Indiana Pacers,85.0,Milwaukee Bucks,99.0
2017-03-10 09:00:00,Brooklyn Nets,96.0,Dallas Mavericks,105.0
2017-03-10 09:00:00,Boston Celtics,99.0,Denver Nuggets,119.0
2017-03-10 10:30:00,Washington Wizards,130.0,Sacramento Kings,122.0
2017-03-11 03:00:00,Utah Jazz,104.0,Oklahoma City Thunder,112.0
2017-03-11 03:30:00,Philadelphia 76ers,100.0,Los Angeles Clippers,112.0
2017-03-11 05:00:00,New York Knicks,92.0,Detroit Pistons,112.0
2017-03-11 07:00:00,Cleveland Cavaliers,116.0,Orlando Magic,104.0
2017-03-11 07:00:00,New Orleans Pelicans,125.0,Charlotte Hornets,122.0
2017-03-11 08:00:00,Toronto Raptors,89.0,Miami Heat,104.0
2017-03-11 08:00:00,Minnesota Timberwolves,95.0,Milwaukee Bucks,102.0
2017-03-11 08:30:00,Golden State Warriors,85.0,San Antonio Spurs,107.0
2017-03-11 09:00:00,Atlanta Hawks,107.0,Memphis Grizzlies,90.0
2017-03-11 09:00:00,Phoenix Suns,100.0,Dallas Mavericks,98.0
2017-03-11 10:00:00,Washington Wizards,125.0,Portland Trail Blazers,124.0
2017-03-11 10:30:00,Denver Nuggets,105.0,Sacramento Kings,92.0
2017-03-12 03:30:00,Chicago Bulls,80.0,Boston Celtics,100.0
2017-03-12 06:00:00,New York Knicks,112.0,Brooklyn Nets,120.0
2017-03-12 06:00:00,Miami Heat,98.0,Indiana Pacers,102.0
2017-03-12 09:00:00,Cleveland Cavaliers,112.0,Houston Rockets,117.0
2017-03-12 09:00:00,Portland Trail Blazers,110.0,Phoenix Suns,101.0
2017-03-12 09:30:00,Philadelphia 76ers,118.0,Los Angeles Lakers,116.0
2017-03-13 07:00:00,Chicago Bulls,115.0,Charlotte Hornets,109.0
2017-03-13 07:30:00,Dallas Mavericks,78.0,Toronto Raptors,100.0
2017-03-13 08:00:00,Milwaukee Bucks,93.0,Memphis Grizzlies,113.0
2017-03-13 08:00:00,Washington Wizards,104.0,Minnesota Timberwolves,119.0
2017-03-13 08:00:00,Atlanta Hawks,99.0,San Antonio Spurs,107.0
2017-03-13 09:00:00,Los Angeles Clippers,108.0,Utah Jazz,114.0
2017-03-13 10:30:00,Los Angeles Lakers,101.0,Denver Nuggets,129.0
2017-03-13 10:30:00,Orlando Magic,115.0,Sacramento Kings,120.0
2017-03-14 07:00:00,Detroit Pistons,96.0,Cleveland Cavaliers,128.0
2017-03-14 07:30:00,Indiana Pacers,81.0,New York Knicks,87.0
2017-03-14 07:30:00,Oklahoma City Thunder,122.0,Brooklyn Nets,104.0
